metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,6.200797015362663,0.0007522421561252034,5.65868261451895e-07,6.200904422679052,6.198532081446592,6.20213809988674
mean_lateral_error_m,5.70955017684656,0.06914634437944428,0.004781216941040705,5.721530867597188,5.513668220905868,5.83614512626429
mean_lateral_rmse_m,7.102540140047726,0.043140800725322614,0.001861128687221996,7.110126507217629,6.979484845823262,7.180503340230521
mean_maximum_path_deviation_m,11.43286083016971,0.000733070329572183,5.37392108099069e-07,11.432822080007291,11.43095938258628,11.434962748915783
maximum_path_deviation_m,11.435872638354205,0.0011087751010338174,1.229382224672552e-06,11.435834495962585,11.433496184107517,11.438337934124176
mean_trajectory_elongation_index,1.4458803273152694,0.017463939612179524,0.0003049891867778531,1.4426553239364288,1.414963962179971,1.496436533723028
total_uavs,10.0,0.0,0.0,10.0,10.0,10.0
uavs_considered_in_metrics,10.0,0.0,0.0,10.0,10.0,10.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
