metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,4.069276142678509,0.31253685997352715,0.09767928884211212,4.136969418174926,2.79661061635558,4.315767134008596
mean_lateral_error_m,0.3456050494281615,0.0204211795546311,0.00041702457440248315,0.3460117545201527,0.2856414467073419,0.3876015670626948
mean_lateral_rmse_m,0.6100341578499496,0.03362023167733949,0.0011303199780379816,0.6126188383662128,0.5005074215697833,0.6704070160465858
mean_maximum_path_deviation_m,1.6931306402964388,0.09256865523624296,0.00856895593224641,1.7108985409419322,1.339906487044419,1.8221288015693369
maximum_path_deviation_m,6.477006651523182,0.36785558238827604,0.13531772949421775,6.537357872721552,5.007373358928311,6.953374456381352
mean_trajectory_elongation_index,1.0502741618411877,0.0015587068675732246,2.4295670990199343e-06,1.0500531956752999,1.0474652509078215,1.0546656645205066
total_uavs,4.0,0.0,0.0,4.0,4.0,4.0
uavs_considered_in_metrics,4.0,0.0,0.0,4.0,4.0,4.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
